Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FD234Q,4.82,regular,0.06,Baking Goods,250.61,OUT92T,1999,Medium,Tier 2,Supermarket Type1,1089.96
FD676G,19.09,low,0.1,Breads,116.1,OUT19I,1991,Medium,Tier 3,Grocery Store,782.0
FD478S,11.09,low,0.37,Soft Drinks,258.27,OUT30C,2002,Small,Tier 1,Supermarket Type2,1615.92
FD999I,17.1,low,0.39,Meat,143.02,OUT43H,1988,High,Tier 1,Supermarket Type2,2547.07
FD834V,7.93,regular,0.27,Dairy,35.17,OUT36R,2005,High,Tier 1,Supermarket Type2,2685.17
FD749B,14.44,regular,0.14,Soft Drinks,78.64,OUT45C,1985,Small,Tier 1,Supermarket Type2,1647.44
FD552J,10.44,low,0.19,Breads,61.22,OUT64J,1985,Small,Tier 3,Supermarket Type2,1754.54
FD954X,5.76,low,0.38,Frozen Foods,194.67,OUT84J,1989,High,Tier 1,Supermarket Type1,1202.95
FD915C,9.38,low,0.13,Starchy Foods,205.47,OUT55N,2006,Medium,Tier 2,Grocery Store,742.7
FD735V,4.62,NA,0.37,Health and Hygiene,78.01,OUT29P,1990,High,Tier 2,Supermarket Type2,2515.18
FD440Y,13.79,regular,0.26,Canned,124.68,OUT62Z,2006,Small,Tier 3,Grocery Store,747.26
FD491C,15.77,NA,0.39,Health and Hygiene,131.57,OUT70O,1991,High,Tier 1,Supermarket Type1,1261.3
FD124Q,12.23,regular,0.11,Breakfast,130.51,OUT34Z,1995,Small,Tier 1,Supermarket Type2,1214.14
FD621Z,19.76,low,0.25,Soft Drinks,136.71,OUT96I,1995,Medium,Tier 3,Supermarket Type2,1340.45
FD371C,5.82,low,0.3,Fruits and Vegetables,50.39,OUT23M,1998,Small,Tier 3,Supermarket Type2,1406.82
FD218Y,19.82,regular,0.19,Hard Drinks,126.58,OUT83M,1993,High,Tier 3,Supermarket Type3,3347.77
FD803U,11.55,regular,0.07,Snack Foods,255.69,OUT95M,1996,High,Tier 3,Grocery Store,1344.79
FD779H,13.05,low,0.19,Starchy Foods,136.1,OUT48G,1994,High,Tier 2,Supermarket Type2,2690.36
FD667I,9.33,regular,0.05,Starchy Foods,120.7,OUT34A,2006,High,Tier 2,Supermarket Type3,2385.41
FD953A,7.77,low,0.19,Others,31.16,OUT48S,1991,Medium,Tier 3,Supermarket Type2,1774.74
FD791N,19.95,regular,0.22,Starchy Foods,214.84,OUT75E,2008,Medium,Tier 2,Supermarket Type3,2725.38
FD748N,21.31,low,0.08,Canned,257.46,OUT52F,2009,High,Tier 3,Supermarket Type2,2358.06
FD125C,14.29,NA,0.17,Health and Hygiene,47.97,OUT41E,2004,Small,Tier 1,Supermarket Type1,955.48
FD299T,16.13,NA,0.4,Household,72.15,OUT99Y,2000,High,Tier 3,Supermarket Type3,2511.41
FD105W,19.92,low,0.28,Others,106.78,OUT23X,1998,High,Tier 3,Supermarket Type1,1397.79
FD355H,7.75,NA,0.26,Health and Hygiene,239.02,OUT68I,1999,Small,Tier 3,Supermarket Type3,1517.07
FD262V,16.44,regular,0.23,Breads,54.37,OUT70C,1993,High,Tier 2,Supermarket Type3,3750.49
FD381C,,NA,0.24,Health and Hygiene,129.01,OUT19T,1994,High,Tier 1,Supermarket Type3,2965.12
FD182I,12.48,NA,0.32,Health and Hygiene,67.64,OUT29O,1997,Medium,Tier 3,Supermarket Type2,1319.82
FD438I,5.21,low,0.16,Dairy,153.87,OUT69A,1986,Medium,Tier 2,Grocery Store,590.79
FD120W,16.85,regular,0.29,Baking Goods,37.72,OUT83Y,2000,High,Tier 3,Supermarket Type3,3372.55
FD651V,21.09,regular,0.15,Fruits and Vegetables,46.86,OUT79Z,2004,Medium,Tier 2,Supermarket Type2,1348.82
FD597B,6.76,NA,0.35,Health and Hygiene,201.4,OUT59V,2006,Medium,Tier 2,Supermarket Type1,1319.17
FD646B,17.29,low,0.37,Others,108.82,OUT60L,2003,Small,Tier 3,Supermarket Type3,1661.71
FD286D,10.68,low,0.33,Fruits and Vegetables,234.52,OUT43Y,1995,Small,Tier 2,Supermarket Type3,1936.48
FD384W,8.5,regular,0.29,Baking Goods,66.45,OUT63Q,1987,Medium,Tier 2,Supermarket Type2,1650.6
FD765E,20.72,low,0.17,Seafood,232.16,OUT93C,2009,Medium,Tier 1,Grocery Store,804.28
FD256P,9.52,low,0.01,Fruits and Vegetables,34.62,OUT26E,2006,Small,Tier 3,Supermarket Type1,797.12
FD885X,11.15,low,0.01,Frozen Foods,33.22,OUT31M,2004,High,Tier 2,Supermarket Type3,2523.5
FD126T,11.23,low,0.02,Frozen Foods,151.5,OUT83R,1997,Small,Tier 3,Supermarket Type2,1297.17
FD950O,14.02,low,0.17,Others,99.67,OUT41G,2007,High,Tier 3,Grocery Store,1149.49
FD538Q,19.74,low,0.29,Meat,193.6,OUT57E,2001,Medium,Tier 3,Grocery Store,563.28
FD543X,17.87,low,0.22,Breads,228.58,OUT91D,2007,Medium,Tier 1,Supermarket Type3,2916.99
FD766R,14.56,regular,0.12,Dairy,257.75,OUT88Z,2002,High,Tier 3,Supermarket Type1,1494.03
FD374U,10.64,regular,0.18,Seafood,99.85,OUT41F,1993,High,Tier 3,Supermarket Type3,3662.74
FD784Y,9.81,low,0.22,Breakfast,32.51,OUT53B,2000,,Tier 3,Supermarket Type3,2411.15
FD916Q,15.48,low,0.14,Breads,220.34,OUT53R,2004,Small,Tier 2,Supermarket Type3,1763.45
FD837A,13.87,low,0.13,Soft Drinks,45.68,OUT72J,2009,Small,Tier 1,Supermarket Type1,982.28
FD195S,,NA,0.08,Health and Hygiene,189.59,OUT38Z,2007,Medium,Tier 1,Supermarket Type3,2869.55
FD643W,13.14,NA,0.16,Health and Hygiene,189.63,OUT64V,2002,,Tier 3,Supermarket Type2,2261.63
FD357O,19.47,regular,0.29,Breads,58.15,OUT25U,1991,Medium,Tier 2,Supermarket Type3,2325.88
FD856E,12.55,low,0.38,Breads,231.99,OUT45U,2003,Small,Tier 1,Supermarket Type1,929.89
FD469L,6.0,low,0.15,Meat,188.12,OUT48A,2007,Medium,Tier 1,Supermarket Type1,1284.34
FD399S,13.34,regular,0.06,Dairy,52.45,OUT26O,2009,Small,Tier 3,Grocery Store,661.66
FD580E,13.76,low,0.16,Seafood,100.78,OUT66V,1990,High,Tier 2,Grocery Store,897.54
FD510F,13.28,regular,0.2,Snack Foods,262.25,OUT19K,2005,Small,Tier 1,Supermarket Type3,2012.72
FD187P,10.94,low,0.05,Snack Foods,177.87,OUT25J,2009,High,Tier 2,Supermarket Type1,1907.81
FD404L,7.31,low,0.02,Starchy Foods,81.19,OUT64T,2003,Medium,Tier 2,Supermarket Type3,2244.67
FD370Q,15.23,low,0.03,Snack Foods,172.75,OUT20K,1992,High,Tier 1,Supermarket Type1,1374.61
FD561S,10.81,low,0.14,Canned,194.65,OUT86E,1994,Small,Tier 2,Supermarket Type1,729.2
FD819D,5.84,low,0.08,Snack Foods,262.47,OUT19R,1992,High,Tier 2,Supermarket Type2,1957.41
FD330P,8.17,low,0.17,Soft Drinks,106.42,OUT29R,1989,Small,Tier 3,Supermarket Type3,1551.72
FD866K,18.24,NA,0.07,Household,104.8,OUT46C,1988,Medium,Tier 3,Supermarket Type1,1466.19
FD652F,18.56,regular,0.2,Breakfast,80.42,OUT66F,2004,Medium,Tier 3,Supermarket Type3,2970.4
FD126F,7.83,regular,0.2,Snack Foods,193.39,OUT39R,2003,High,Tier 2,Supermarket Type2,2773.99
FD631P,8.7,regular,0.16,Fruits and Vegetables,108.37,OUT66R,1990,Small,Tier 2,Grocery Store,783.95
FD518V,18.7,regular,0.24,Starchy Foods,109.17,OUT51Q,1988,Medium,Tier 2,Grocery Store,648.63
FD395Q,8.85,regular,0.39,Canned,109.38,OUT61W,2002,High,Tier 2,Supermarket Type3,3667.89
FD431H,5.51,regular,0.14,Snack Foods,42.93,OUT61G,1985,Medium,Tier 2,Grocery Store,911.32
FD470N,10.99,regular,0.15,Breakfast,65.95,OUT73O,1999,Small,Tier 3,Grocery Store,611.2
FD394C,5.0,low,0.13,Snack Foods,31.76,OUT99F,1988,High,Tier 1,Supermarket Type2,2288.78
FD114J,11.17,low,0.12,Fruits and Vegetables,235.35,OUT62F,1992,Medium,Tier 3,Supermarket Type1,1475.13
FD610T,16.9,regular,0.24,Frozen Foods,148.06,OUT47G,2007,High,Tier 1,Grocery Store,808.57
FD567J,12.29,regular,0.03,Soft Drinks,145.86,OUT28Y,1991,Medium,Tier 1,Supermarket Type3,1912.34
FD906G,7.73,low,0.13,Dairy,261.28,OUT44A,1994,Medium,Tier 2,Supermarket Type2,1730.67
FD595W,21.25,regular,0.06,Meat,118.85,OUT52J,2009,Medium,Tier 3,Supermarket Type1,1068.97
FD344K,15.95,regular,0.39,Others,173.07,OUT59O,2009,Small,Tier 3,Supermarket Type2,1364.14
FD822Z,12.46,low,0.27,Starchy Foods,73.42,OUT58Y,2006,High,Tier 2,Supermarket Type2,2613.47
FD704V,19.87,regular,0.38,Dairy,214.38,OUT22C,1988,Small,Tier 3,Grocery Store,491.84
FD258E,6.94,low,0.23,Breakfast,256.61,OUT70Y,1993,Medium,Tier 3,Supermarket Type1,895.56
FD979I,7.04,regular,0.17,Breads,167.63,OUT58U,2005,Medium,Tier 3,Grocery Store,656.8
FD800S,19.36,low,0.2,Seafood,257.95,OUT39V,1987,Small,Tier 3,Grocery Store,762.79
FD810T,18.17,low,0.21,Starchy Foods,176.96,OUT13C,1995,Medium,Tier 1,Grocery Store,737.38
FD249P,8.69,regular,0.16,Snack Foods,147.3,OUT77A,2003,Medium,Tier 2,Supermarket Type2,1594.34
FD991Y,12.0,low,0.2,Canned,104.38,OUT89R,1992,Small,Tier 3,Supermarket Type1,695.03
FD360D,17.95,low,0.16,Seafood,143.42,OUT42Q,1985,Medium,Tier 3,Supermarket Type1,1531.21
FD453L,11.59,regular,0.17,Breakfast,117.53,OUT48O,1998,Small,Tier 2,Supermarket Type1,939.09
FD973E,4.74,regular,0.15,Soft Drinks,189.67,OUT23P,1997,Small,Tier 2,Supermarket Type2,1275.36
FD505R,7.59,regular,0.01,Hard Drinks,140.43,OUT11K,2006,Small,Tier 3,Supermarket Type2,1097.47
FD921W,8.65,regular,0.08,Snack Foods,176.22,OUT38O,1991,Small,Tier 3,Supermarket Type2,1871.39
FD140T,5.81,low,0.04,Soft Drinks,110.29,OUT66C,2003,High,Tier 3,Grocery Store,1101.96
FD865A,16.49,low,0.05,Hard Drinks,210.33,OUT32M,1989,Medium,Tier 2,Grocery Store,934.53
FD925S,8.02,regular,0.14,Hard Drinks,115.36,OUT53Z,1988,Medium,Tier 2,Supermarket Type1,1257.56
FD841R,10.1,low,0.08,Breakfast,212.59,OUT60Z,2002,Small,Tier 3,Supermarket Type1,874.3
FD649H,6.95,low,0.13,Hard Drinks,233.01,OUT68X,2006,Small,Tier 2,Supermarket Type3,2550.92
FD339E,15.22,regular,0.18,Soft Drinks,88.98,OUT13N,2002,Small,Tier 3,Supermarket Type2,1097.32
FD817T,9.98,low,0.17,Breads,172.91,OUT93A,1988,High,Tier 2,Grocery Store,1087.36
FD218G,8.46,low,0.34,Dairy,145.67,OUT40I,1989,Medium,Tier 2,Grocery Store,645.38
FD813I,8.25,regular,0.09,Others,61.38,OUT63L,2008,High,Tier 3,Supermarket Type2,1998.07
FD517R,8.31,regular,0.08,Dairy,32.6,OUT14S,1996,Medium,Tier 3,Grocery Store,651.95
FD201R,12.32,regular,0.28,Baking Goods,119.55,OUT57I,2005,Small,Tier 2,Supermarket Type3,2054.04
FD225D,20.68,low,0.36,Hard Drinks,207.86,OUT21Q,1991,Medium,Tier 1,Supermarket Type3,3056.06
FD905K,8.4,low,0.21,Fruits and Vegetables,100.93,OUT36E,2009,Small,Tier 1,Supermarket Type2,1576.94
FD907M,18.42,low,0.2,Baking Goods,260.71,OUT10R,1989,,Tier 1,Supermarket Type1,1512.63
FD987B,16.73,regular,0.07,Dairy,60.3,OUT26A,1996,Small,Tier 3,Supermarket Type1,872.82
FD153I,5.52,NA,0.08,Health and Hygiene,118.94,OUT63H,1988,Small,Tier 2,Grocery Store,553.74
FD707G,7.29,NA,0.19,Household,68.15,OUT67G,1992,Medium,Tier 3,Supermarket Type3,2928.51
FD162E,16.38,regular,0.24,Snack Foods,239.14,OUT61B,2006,High,Tier 1,Supermarket Type3,2791.67
FD429M,12.06,regular,0.11,Frozen Foods,159.63,OUT28E,1989,Small,Tier 1,Supermarket Type3,1625.34
FD401D,8.14,regular,0.22,Soft Drinks,96.88,OUT74M,1998,High,Tier 3,Supermarket Type3,3660.24
FD333A,12.26,low,0.1,Frozen Foods,202.99,OUT53D,1997,Medium,Tier 2,Supermarket Type1,1227.12
FD781Q,9.0,low,0.12,Starchy Foods,72.5,OUT57J,2006,Medium,Tier 2,Supermarket Type2,1349.0
FD542G,7.08,low,0.08,Seafood,30.63,OUT57Z,1989,Small,Tier 1,Grocery Store,676.7
FD994Q,20.57,regular,0.34,Snack Foods,246.69,OUT64U,1986,Medium,Tier 2,Grocery Store,864.11
FD619N,12.43,regular,0.01,Meat,145.8,OUT29Q,2000,Small,Tier 3,Supermarket Type2,1573.56
FD217W,13.1,NA,0.34,Health and Hygiene,207.96,OUT45K,1992,High,Tier 2,Supermarket Type2,1893.61
FD379S,6.55,low,0.03,Starchy Foods,220.24,OUT49V,1996,Small,Tier 1,Supermarket Type2,1049.87
FD510E,10.39,low,0.22,Fruits and Vegetables,123.94,OUT28V,2005,High,Tier 3,Supermarket Type1,1375.55
FD564V,10.15,low,0.35,Fruits and Vegetables,143.72,OUT30X,1994,Medium,Tier 2,Supermarket Type1,1469.34
FD872N,16.5,low,0.03,Breads,220.31,OUT16R,1987,,Tier 1,Grocery Store,744.44
FD552A,14.84,regular,0.09,Soft Drinks,245.99,OUT44N,2009,Medium,Tier 3,Supermarket Type3,1786.37
FD794R,17.76,regular,0.29,Frozen Foods,207.74,OUT85F,2001,Small,Tier 2,Supermarket Type3,1541.35
FD156A,18.86,low,0.14,Meat,168.51,OUT36T,1991,Medium,Tier 3,Supermarket Type1,1469.7
FD107F,,regular,0.25,Dairy,207.8,OUT65L,1989,Medium,Tier 1,Supermarket Type2,1537.63
FD982V,18.56,low,0.37,Others,85.93,OUT15B,1985,Small,Tier 2,Supermarket Type2,1490.07
FD687Z,13.89,low,0.01,Breakfast,157.53,OUT91A,1994,High,Tier 2,Supermarket Type2,2112.32
FD920N,13.59,regular,0.27,Frozen Foods,267.45,OUT68S,1996,Medium,Tier 1,Grocery Store,884.42
FD703Z,21.03,NA,0.26,Household,59.72,OUT77F,1997,Small,Tier 2,Grocery Store,784.13
FD178G,13.54,regular,0.29,Meat,104.41,OUT91H,2001,,Tier 1,Supermarket Type1,1297.5
FD934J,20.72,regular,0.38,Baking Goods,58.9,OUT40G,1989,High,Tier 3,Supermarket Type2,2445.39
FD878W,10.87,low,0.26,Soft Drinks,105.47,OUT93E,1990,High,Tier 1,Supermarket Type1,1144.33
FD758O,12.45,regular,0.33,Seafood,124.84,OUT89U,2005,High,Tier 3,Supermarket Type3,4064.24
FD552O,15.28,low,0.1,Breads,259.92,OUT48Y,1993,,Tier 2,Supermarket Type3,2148.01
FD562C,11.35,regular,0.33,Snack Foods,181.28,OUT17X,1994,Medium,Tier 2,Grocery Store,951.46
FD667Y,7.79,NA,0.17,Household,235.22,OUT15C,2003,Medium,Tier 3,Supermarket Type3,1899.17
FD163C,13.05,regular,0.14,Baking Goods,68.98,OUT23Z,1995,High,Tier 1,Supermarket Type3,4134.53
FD548C,12.32,NA,0.25,Household,185.14,OUT77H,2004,Small,Tier 3,Grocery Store,597.52
FD518X,,regular,0.13,Canned,245.7,OUT53R,2004,Medium,Tier 2,Supermarket Type2,1499.6
FD671R,15.4,regular,0.08,Snack Foods,172.36,OUT59S,1993,Medium,Tier 1,Grocery Store,629.65
FD244W,12.32,regular,0.07,Dairy,181.84,OUT49P,2007,High,Tier 3,Grocery Store,1188.59
FD485P,18.68,low,0.04,Others,247.22,OUT52I,2006,Medium,Tier 3,Grocery Store,1003.98
FD416L,19.74,NA,0.06,Household,268.21,OUT37V,2009,Small,Tier 2,Supermarket Type2,1350.58
FD179S,15.26,low,0.36,Seafood,125.86,OUT22G,2009,Small,Tier 1,Supermarket Type1,973.07
FD257K,5.05,regular,0.34,Snack Foods,53.45,OUT33S,2009,High,Tier 2,Supermarket Type1,1854.93
FD792U,19.15,regular,0.2,Canned,54.37,OUT40C,2004,Medium,Tier 2,Grocery Store,1036.11
FD416Z,10.91,regular,0.31,Meat,31.2,OUT70M,1996,High,Tier 1,Supermarket Type1,1385.38
FD640A,11.67,regular,0.4,Breakfast,257.52,OUT30M,2004,Medium,Tier 3,Supermarket Type2,2319.55
FD995X,14.85,regular,0.28,Dairy,90.65,OUT80G,2007,High,Tier 2,Grocery Store,1337.07
FD560G,13.23,regular,0.19,Frozen Foods,173.86,OUT28B,1987,Small,Tier 2,Grocery Store,698.41
FD154Z,12.05,NA,0.31,Health and Hygiene,187.34,OUT74X,1992,Small,Tier 2,Supermarket Type2,1861.58
FD426G,20.55,low,0.05,Others,101.91,OUT93V,1989,Small,Tier 1,Supermarket Type2,1262.23
FD951I,16.86,low,0.13,Dairy,236.22,OUT70C,2004,Medium,Tier 3,Supermarket Type2,1683.79
FD955J,17.15,low,0.03,Fruits and Vegetables,243.78,OUT80U,2004,Medium,Tier 1,Grocery Store,649.57
FD224D,10.12,low,0.12,Starchy Foods,224.69,OUT40A,2005,Small,Tier 2,Supermarket Type2,1176.07
FD648B,11.03,low,0.19,Breakfast,53.94,OUT90G,2003,Medium,Tier 3,Grocery Store,745.3
FD729W,13.07,NA,0.05,Health and Hygiene,223.71,OUT40K,1998,Medium,Tier 1,Supermarket Type2,1641.35
FD657G,6.45,low,0.27,Canned,220.42,OUT74J,1985,Small,Tier 3,Supermarket Type2,1173.45
FD482Q,17.74,regular,0.07,Others,60.49,OUT12W,1987,High,Tier 2,Grocery Store,882.75
FD874V,14.35,low,0.33,Hard Drinks,121.32,OUT27C,1996,High,Tier 3,Grocery Store,1097.94
FD746L,5.56,low,0.39,Breads,164.54,OUT27E,2007,High,Tier 2,Supermarket Type3,2591.67
FD910M,21.15,low,0.32,Breakfast,69.01,OUT15U,1994,,Tier 1,Supermarket Type2,1566.24
FD295S,15.51,regular,0.1,Others,33.45,OUT55X,1986,Small,Tier 3,Supermarket Type2,1743.8
FD509V,13.45,regular,0.2,Breads,228.36,OUT66Y,1995,Medium,Tier 2,Grocery Store,673.07
FD373Z,12.9,regular,0.34,Canned,165.22,OUT20U,1998,Medium,Tier 3,Supermarket Type3,2890.3
FD428G,4.58,NA,0.09,Household,182.03,OUT20U,2006,High,Tier 2,Supermarket Type1,1518.72
FD536K,9.99,regular,0.27,Meat,124.99,OUT98C,1996,High,Tier 3,Supermarket Type3,2762.43
FD381O,15.84,low,0.05,Breakfast,78.01,OUT17E,2006,High,Tier 2,Supermarket Type2,1873.98
FD969M,17.11,regular,0.2,Others,167.36,OUT96Y,1999,Small,Tier 1,Supermarket Type1,1132.73
FD475X,16.46,low,0.23,Snack Foods,106.77,OUT59K,1986,Small,Tier 3,Grocery Store,643.66
FD881E,16.58,regular,0.15,Dairy,62.61,OUT83I,2001,Medium,Tier 2,Supermarket Type2,1354.42
FD355H,11.74,regular,0.11,Hard Drinks,218.2,OUT13V,1990,High,Tier 2,Supermarket Type2,1991.87
FD820C,21.46,regular,0.04,Seafood,225.35,OUT37N,1994,Medium,Tier 2,Grocery Store,562.47
FD562L,5.0,low,0.31,Seafood,148.86,OUT66F,2006,Small,Tier 1,Grocery Store,689.12
FD397T,7.21,regular,0.35,Breads,268.94,OUT30T,2007,High,Tier 3,Grocery Store,1295.09
FD911I,9.8,regular,0.11,Canned,30.3,OUT40Y,2000,Small,Tier 1,Supermarket Type1,1172.88
FD232N,12.05,regular,0.34,Fruits and Vegetables,179.75,OUT21E,1994,Medium,Tier 3,Supermarket Type2,2219.33
FD175I,16.92,regular,0.17,Others,86.06,OUT50P,1987,Medium,Tier 3,Supermarket Type3,2642.07
FD755L,6.82,regular,0.31,Breakfast,194.89,OUT33X,1989,Small,Tier 3,Supermarket Type2,1659.88
FD411K,8.67,low,0.15,Starchy Foods,201.96,OUT30U,2007,High,Tier 1,Grocery Store,1217.92
FD301O,16.69,NA,0.3,Health and Hygiene,151.16,OUT80R,1989,Small,Tier 2,Supermarket Type2,1259.17
FD257K,6.42,low,0.15,Meat,116.59,OUT94N,2008,High,Tier 3,Supermarket Type1,1938.15
FD756X,17.48,low,0.16,Breads,205.03,OUT83Q,2005,Small,Tier 1,Grocery Store,550.07
FD658S,19.61,regular,0.15,Baking Goods,221.14,OUT92T,2000,Medium,Tier 3,Grocery Store,813.37
FD805D,15.54,NA,0.34,Health and Hygiene,232.75,OUT30C,1998,Medium,Tier 1,Supermarket Type2,1969.89
FD247U,6.19,regular,0.21,Seafood,241.29,OUT50U,1996,Medium,Tier 3,Supermarket Type1,1010.85
FD208U,16.3,low,0.23,Others,125.98,OUT40D,1988,High,Tier 3,Supermarket Type2,2337.88
FD151S,11.23,regular,0.12,Soft Drinks,202.14,OUT59N,1998,Small,Tier 1,Supermarket Type1,1242.11
FD420M,21.21,NA,0.07,Health and Hygiene,155.14,OUT30F,2001,High,Tier 3,Supermarket Type2,2570.62
FD192Z,11.77,regular,0.07,Breakfast,139.24,OUT74D,1992,Medium,Tier 1,Supermarket Type2,2138.59
FD606M,12.85,regular,0.2,Baking Goods,253.85,OUT93R,2000,Small,Tier 2,Grocery Store,676.25
FD370U,18.22,low,0.1,Meat,157.47,OUT56W,1997,Medium,Tier 1,Grocery Store,935.06
FD675M,4.94,low,0.2,Hard Drinks,242.7,OUT56J,1994,Small,Tier 3,Supermarket Type3,2432.28
FD945N,15.27,NA,0.4,Household,75.07,OUT97N,1988,High,Tier 2,Supermarket Type3,2310.98
FD671X,16.74,low,0.27,Dairy,55.32,OUT28M,2004,Medium,Tier 2,Supermarket Type3,1899.58
FD830V,16.13,low,0.24,Others,120.61,OUT70H,1999,Small,Tier 1,Grocery Store,804.91
FD266Z,13.08,low,0.2,Dairy,264.2,OUT88V,1994,High,Tier 2,Supermarket Type2,2650.69
FD477V,14.09,regular,0.06,Breads,159.84,OUT96H,1998,Medium,Tier 1,Supermarket Type2,2022.64
FD901X,11.33,low,0.08,Meat,80.85,OUT84K,1992,Medium,Tier 3,Supermarket Type3,3189.37
FD838N,12.57,regular,0.22,Snack Foods,262.84,OUT58J,2006,High,Tier 3,Supermarket Type1,1639.36
FD551U,19.23,NA,0.33,Health and Hygiene,66.06,OUT63J,1998,Small,Tier 1,Grocery Store,741.12
FD163T,17.82,regular,0.16,Baking Goods,200.7,OUT27H,1991,High,Tier 3,Supermarket Type3,3367.36
FD570I,10.95,regular,0.39,Breads,259.55,OUT53I,1996,Medium,Tier 1,Supermarket Type3,2510.92
FD671T,18.7,regular,0.04,Soft Drinks,104.35,OUT38T,2009,Small,Tier 2,Supermarket Type1,1232.13
FD457J,16.43,low,0.06,Meat,144.03,OUT45S,1988,Medium,Tier 2,Supermarket Type3,2952.53
FD143S,11.02,regular,0.28,Others,131.75,OUT20W,1999,Small,Tier 2,Supermarket Type2,1472.92
FD377J,19.45,regular,0.26,Soft Drinks,268.91,OUT99R,1989,,Tier 3,Supermarket Type1,758.03
FD643O,6.17,low,0.22,Frozen Foods,64.12,OUT91O,1986,Small,Tier 3,Supermarket Type1,1070.36
FD202R,5.38,regular,0.11,Frozen Foods,203.44,OUT27A,2002,High,Tier 2,Supermarket Type2,2911.52
