Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FD381C,7.81,NA,0.07,Health and Hygiene,166.13,OUT19T,1994,High,Tier 1,Supermarket Type3,4157.14
FD182I,18.31,NA,0.23,Health and Hygiene,263.78,OUT29O,1997,Medium,Tier 3,Supermarket Type2,1838.01
FD438I,17.08,low,0.02,Dairy,85.12,OUT69A,1986,Medium,Tier 2,Grocery Store,597.11
FD120W,18.21,regular,0.4,Baking Goods,198.8,OUT83Y,2000,High,Tier 3,Supermarket Type3,3191.7
FD651V,9.5,regular,0.11,Fruits and Vegetables,111.32,OUT79Z,2004,,Tier 2,Supermarket Type2,1511.23
FD597B,10.91,NA,0.07,Health and Hygiene,109.66,OUT59V,2006,,Tier 2,Supermarket Type1,884.14
FD646B,9.1,low,0.05,Others,260.66,OUT60L,2003,Small,Tier 3,Supermarket Type3,2565.78
FD286D,7.9,low,0.21,Fruits and Vegetables,200.16,OUT43Y,1995,Small,Tier 2,Supermarket Type3,2297.75
FD384W,9.82,regular,0.27,Baking Goods,200.44,OUT63Q,1987,Medium,Tier 2,Supermarket Type2,2242.34
FD765E,,low,0.37,Seafood,89.7,OUT93C,2009,Medium,Tier 1,Grocery Store,964.76
FD256P,9.3,low,0.11,Fruits and Vegetables,191.58,OUT26E,2006,Small,Tier 3,Supermarket Type1,680.75
FD885X,16.74,low,0.12,Frozen Foods,73.05,OUT31M,2004,High,Tier 2,Supermarket Type3,3238.71
FD126T,12.57,low,0.15,Frozen Foods,82.51,OUT83R,1997,Small,Tier 3,Supermarket Type2,1054.75
FD950O,8.31,low,0.35,Others,79.85,OUT41G,2007,,Tier 3,Grocery Store,1330.78
FD538Q,18.77,low,0.05,Meat,36.07,OUT57E,2001,Medium,Tier 3,Grocery Store,1011.76
FD543X,5.87,low,0.14,Breads,61.52,OUT91D,2007,Medium,Tier 1,Supermarket Type3,2846.02
FD766R,21.04,regular,0.3,Dairy,57.38,OUT88Z,2002,High,Tier 3,Supermarket Type1,1159.65
FD374U,16.4,regular,0.27,Seafood,149.75,OUT41F,1993,High,Tier 3,Supermarket Type3,2902.88
FD784Y,7.1,low,0.01,Breakfast,118.18,OUT53B,2000,High,Tier 3,Supermarket Type3,3104.39
FD916Q,4.98,low,0.27,Breads,183.74,OUT53R,2004,Small,Tier 2,Supermarket Type3,1940.78
FD837A,7.56,low,0.11,Soft Drinks,89.07,OUT72J,2009,Small,Tier 1,Supermarket Type1,1129.76
FD195S,,NA,0.01,Health and Hygiene,58.4,OUT38Z,2007,Medium,Tier 1,Supermarket Type3,2693.66
FD643W,6.44,NA,0.03,Health and Hygiene,100.09,OUT64V,2002,Medium,Tier 3,Supermarket Type2,1953.19
FD357O,6.78,regular,0.35,Breads,122.42,OUT25U,1991,Medium,Tier 2,Supermarket Type3,1878.1
FD856E,11.54,low,0.35,Breads,108.25,OUT45U,2003,Small,Tier 1,Supermarket Type1,1203.91
FD469L,13.14,low,0.16,Meat,91.63,OUT48A,2007,Medium,Tier 1,Supermarket Type1,1185.03
FD399S,,regular,0.36,Dairy,45.52,OUT26O,2009,Small,Tier 3,Grocery Store,762.86
FD580E,10.27,low,0.26,Seafood,194.65,OUT66V,1990,High,Tier 2,Grocery Store,821.63
FD510F,11.42,regular,0.28,Snack Foods,194.9,OUT19K,2005,Small,Tier 1,Supermarket Type3,1753.03
FD187P,21.44,low,0.32,Snack Foods,59.37,OUT25J,2009,High,Tier 2,Supermarket Type1,2022.24
FD404L,13.48,low,0.02,Starchy Foods,170.21,OUT64T,2003,Medium,Tier 2,Supermarket Type3,3234.15
FD370Q,17.89,low,0.22,Snack Foods,244.45,OUT20K,1992,High,Tier 1,Supermarket Type1,1743.88
FD561S,8.11,low,0.27,Canned,181.63,OUT86E,1994,Small,Tier 2,Supermarket Type1,993.38
FD819D,13.07,low,0.32,Snack Foods,252.53,OUT19R,1992,High,Tier 2,Supermarket Type2,2717.59
FD330P,17.09,low,0.37,Soft Drinks,124.41,OUT29R,1989,Small,Tier 3,Supermarket Type3,1894.14
FD866K,8.92,NA,0.25,Household,74.45,OUT46C,1988,Medium,Tier 3,Supermarket Type1,883.55
FD652F,21.01,regular,0.03,Breakfast,101.42,OUT66F,2004,Medium,Tier 3,Supermarket Type3,3183.57
FD126F,10.26,regular,0.33,Snack Foods,203.45,OUT39R,2003,High,Tier 2,Supermarket Type2,1951.2
FD631P,20.16,regular,0.2,Fruits and Vegetables,173.73,OUT66R,1990,Small,Tier 2,Grocery Store,623.0
FD518V,6.13,regular,0.14,Starchy Foods,170.31,OUT51Q,1988,Medium,Tier 2,Grocery Store,960.09
FD395Q,5.23,regular,0.12,Canned,240.94,OUT61W,2002,High,Tier 2,Supermarket Type3,3671.85
FD431H,18.71,regular,0.09,Snack Foods,117.77,OUT61G,1985,,Tier 2,Grocery Store,803.85
FD470N,6.86,regular,0.04,Breakfast,35.3,OUT73O,1999,Small,Tier 3,Grocery Store,565.78
FD394C,16.51,low,0.23,Snack Foods,183.55,OUT99F,1988,High,Tier 1,Supermarket Type2,2021.85
FD114J,8.2,low,0.34,Fruits and Vegetables,153.58,OUT62F,1992,Medium,Tier 3,Supermarket Type1,1139.15
FD610T,11.96,regular,0.18,Frozen Foods,197.75,OUT47G,2007,High,Tier 1,Grocery Store,891.02
FD567J,4.7,regular,0.06,Soft Drinks,107.05,OUT28Y,1991,Medium,Tier 1,Supermarket Type3,2299.44
FD906G,7.2,low,0.04,Dairy,179.75,OUT44A,1994,Medium,Tier 2,Supermarket Type2,1683.77
FD595W,20.84,regular,0.14,Meat,55.23,OUT52J,2009,Medium,Tier 3,Supermarket Type1,1234.94
FD344K,,regular,0.29,Others,138.99,OUT59O,2009,Small,Tier 3,Supermarket Type2,1398.42
FD822Z,18.29,low,0.34,Starchy Foods,102.6,OUT58Y,2006,High,Tier 2,Supermarket Type2,1655.55
FD704V,13.24,regular,0.2,Dairy,42.61,OUT22C,1988,,Tier 3,Grocery Store,744.58
FD258E,10.0,low,0.21,Breakfast,65.57,OUT70Y,1993,Medium,Tier 3,Supermarket Type1,1077.1
FD979I,4.78,regular,0.12,Breads,49.96,OUT58U,2005,,Tier 3,Grocery Store,809.81
FD800S,20.02,low,0.27,Seafood,166.08,OUT39V,1987,Small,Tier 3,Grocery Store,579.32
FD810T,5.73,low,0.15,Starchy Foods,202.27,OUT13C,1995,Medium,Tier 1,Grocery Store,759.45
FD249P,18.02,regular,0.4,Snack Foods,222.45,OUT77A,2003,Medium,Tier 2,Supermarket Type2,1783.6
FD991Y,6.42,low,0.15,Canned,206.47,OUT89R,1992,Small,Tier 3,Supermarket Type1,1062.61
FD360D,20.96,low,0.28,Seafood,221.78,OUT42Q,1985,Medium,Tier 3,Supermarket Type1,882.99
FD453L,17.52,regular,0.32,Breakfast,103.29,OUT48O,1998,Small,Tier 2,Supermarket Type1,847.29
FD973E,7.74,regular,0.29,Soft Drinks,208.56,OUT23P,1997,Small,Tier 2,Supermarket Type2,1090.98
FD505R,18.93,regular,0.03,Hard Drinks,152.46,OUT11K,2006,Small,Tier 3,Supermarket Type2,1688.4
FD921W,18.77,regular,0.07,Snack Foods,57.49,OUT38O,1991,Small,Tier 3,Supermarket Type2,1509.11
FD140T,5.41,low,0.2,Soft Drinks,217.89,OUT66C,2003,High,Tier 3,Grocery Store,1317.92
FD865A,5.2,low,0.13,Hard Drinks,30.04,OUT32M,1989,Medium,Tier 2,Grocery Store,720.11
FD925S,8.58,regular,0.14,Hard Drinks,52.06,OUT53Z,1988,Medium,Tier 2,Supermarket Type1,942.35
FD841R,12.63,low,0.13,Breakfast,60.78,OUT60Z,2002,Small,Tier 3,Supermarket Type1,907.42
FD649H,19.81,low,0.38,Hard Drinks,233.66,OUT68X,2006,Small,Tier 2,Supermarket Type3,1938.5
FD339E,21.4,regular,0.25,Soft Drinks,140.2,OUT13N,2002,Small,Tier 3,Supermarket Type2,1548.55
FD817T,6.72,low,0.21,Breads,268.03,OUT93A,1988,High,Tier 2,Grocery Store,1328.25
FD218G,7.51,low,0.29,Dairy,142.61,OUT40I,1989,Medium,Tier 2,Grocery Store,871.9
FD813I,11.07,regular,0.2,Others,234.49,OUT63L,2008,High,Tier 3,Supermarket Type2,2218.34
FD517R,10.87,regular,0.07,Dairy,238.62,OUT14S,1996,Medium,Tier 3,Grocery Store,770.51
FD201R,,regular,0.21,Baking Goods,84.07,OUT57I,2005,Small,Tier 2,Supermarket Type3,2548.31
FD225D,7.84,low,0.4,Hard Drinks,179.25,OUT21Q,1991,Medium,Tier 1,Supermarket Type3,3037.47
FD905K,14.66,low,0.13,Fruits and Vegetables,268.1,OUT36E,2009,Small,Tier 1,Supermarket Type2,1224.76
FD907M,11.83,low,0.14,Baking Goods,241.92,OUT10R,1989,Medium,Tier 1,Supermarket Type1,1141.93
FD987B,21.0,regular,0.04,Dairy,33.7,OUT26A,1996,Small,Tier 3,Supermarket Type1,679.59
FD153I,10.26,NA,0.22,Health and Hygiene,119.07,OUT63H,1988,Small,Tier 2,Grocery Store,557.53
FD707G,14.06,NA,0.37,Household,261.06,OUT67G,1992,Medium,Tier 3,Supermarket Type3,2495.52
FD162E,,regular,0.23,Snack Foods,145.88,OUT61B,2006,High,Tier 1,Supermarket Type3,2315.74
FD429M,21.41,regular,0.23,Frozen Foods,31.28,OUT28E,1989,Small,Tier 1,Supermarket Type3,1791.14
FD401D,10.12,regular,0.1,Soft Drinks,172.95,OUT74M,1998,High,Tier 3,Supermarket Type3,2768.88
FD333A,15.76,low,0.22,Frozen Foods,61.0,OUT53D,1997,Medium,Tier 2,Supermarket Type1,1227.47
FD781Q,11.54,low,0.28,Starchy Foods,227.76,OUT57J,2006,Medium,Tier 2,Supermarket Type2,2279.51
FD542G,8.12,low,0.32,Seafood,54.45,OUT57Z,1989,Small,Tier 1,Grocery Store,808.51
FD994Q,4.71,regular,0.37,Snack Foods,101.02,OUT64U,1986,Medium,Tier 2,Grocery Store,1023.2
FD619N,20.38,regular,0.09,Meat,50.81,OUT29Q,2000,Small,Tier 3,Supermarket Type2,1349.07
FD217W,11.75,NA,0.22,Health and Hygiene,49.64,OUT45K,1992,High,Tier 2,Supermarket Type2,2118.27
FD379S,5.9,low,0.14,Starchy Foods,44.65,OUT49V,1996,Small,Tier 1,Supermarket Type2,1332.36
FD510E,17.92,low,0.08,Fruits and Vegetables,205.45,OUT28V,2005,High,Tier 3,Supermarket Type1,1813.14
FD564V,14.13,low,0.09,Fruits and Vegetables,114.41,OUT30X,1994,Medium,Tier 2,Supermarket Type1,1013.1
FD872N,17.95,low,0.18,Breads,175.99,OUT16R,1987,Small,Tier 1,Grocery Store,520.95
FD552A,13.01,regular,0.18,Soft Drinks,248.49,OUT44N,2009,Medium,Tier 3,Supermarket Type3,2541.52
FD794R,20.96,regular,0.19,Frozen Foods,137.92,OUT85F,2001,Small,Tier 2,Supermarket Type3,1628.21
FD156A,19.4,low,0.22,Meat,48.37,OUT36T,1991,,Tier 3,Supermarket Type1,864.7
FD107F,9.8,regular,0.02,Dairy,65.23,OUT65L,1989,Medium,Tier 1,Supermarket Type2,1421.2
FD982V,21.22,low,0.19,Others,268.83,OUT15B,1985,Small,Tier 2,Supermarket Type2,1295.62
FD687Z,6.95,low,0.21,Breakfast,142.57,OUT91A,1994,High,Tier 2,Supermarket Type2,1764.57
FD920N,13.6,regular,0.31,Frozen Foods,219.58,OUT68S,1996,Medium,Tier 1,Grocery Store,924.06
FD703Z,10.37,NA,0.39,Household,240.23,OUT77F,1997,Small,Tier 2,Grocery Store,747.2
FD178G,12.97,regular,0.12,Meat,240.41,OUT91H,2001,Medium,Tier 1,Supermarket Type1,891.64
FD934J,20.63,regular,0.06,Baking Goods,243.87,OUT40G,1989,High,Tier 3,Supermarket Type2,2369.73
FD878W,19.13,low,0.06,Soft Drinks,255.19,OUT93E,1990,High,Tier 1,Supermarket Type1,1314.0
FD758O,7.67,regular,0.19,Seafood,213.46,OUT89U,2005,,Tier 3,Supermarket Type3,3297.13
FD552O,6.51,low,0.02,Breads,159.23,OUT48Y,1993,Small,Tier 2,Supermarket Type3,1518.61
FD562C,14.0,regular,0.08,Snack Foods,266.39,OUT17X,1994,Medium,Tier 2,Grocery Store,809.03
FD667Y,8.3,NA,0.13,Household,121.45,OUT15C,2003,Medium,Tier 3,Supermarket Type3,2023.28
FD163C,9.75,regular,0.08,Baking Goods,126.79,OUT23Z,1995,High,Tier 1,Supermarket Type3,3199.84
FD548C,8.87,NA,0.08,Household,88.52,OUT77H,2004,Small,Tier 3,Grocery Store,510.63
FD518X,15.24,regular,0.31,Canned,60.9,OUT53R,2004,Medium,Tier 2,Supermarket Type2,1370.47
FD671R,12.55,regular,0.27,Snack Foods,253.91,OUT59S,1993,Medium,Tier 1,Grocery Store,614.54
FD244W,13.69,regular,0.25,Dairy,198.09,OUT49P,2007,High,Tier 3,Grocery Store,1056.55
FD485P,15.1,low,0.12,Others,34.31,OUT52I,2006,,Tier 3,Grocery Store,1031.24
FD416L,6.34,NA,0.3,Household,204.29,OUT37V,2009,Small,Tier 2,Supermarket Type2,1577.76
FD179S,16.81,low,0.23,Seafood,142.11,OUT22G,2009,Small,Tier 1,Supermarket Type1,963.6
FD257K,14.87,regular,0.2,Snack Foods,65.87,OUT33S,2009,High,Tier 2,Supermarket Type1,1356.11
FD792U,8.89,regular,0.09,Canned,35.13,OUT40C,2004,Medium,Tier 2,Grocery Store,739.24
FD416Z,11.75,regular,0.26,Meat,107.71,OUT70M,1996,High,Tier 1,Supermarket Type1,1724.42
FD640A,20.51,regular,0.34,Breakfast,175.82,OUT30M,2004,Medium,Tier 3,Supermarket Type2,1485.88
FD995X,5.6,regular,0.14,Dairy,153.29,OUT80G,2007,High,Tier 2,Grocery Store,783.1
FD560G,17.57,regular,0.17,Frozen Foods,113.7,OUT28B,1987,Small,Tier 2,Grocery Store,587.46
FD154Z,8.76,NA,0.34,Health and Hygiene,175.57,OUT74X,1992,Small,Tier 2,Supermarket Type2,1734.89
FD426G,5.73,low,0.18,Others,176.14,OUT93V,1989,Small,Tier 1,Supermarket Type2,1678.23
FD951I,18.32,low,0.4,Dairy,139.4,OUT70C,2004,Medium,Tier 3,Supermarket Type2,1954.6
FD955J,9.15,low,0.31,Fruits and Vegetables,100.13,OUT80U,2004,Medium,Tier 1,Grocery Store,887.07
FD224D,18.1,low,0.35,Starchy Foods,175.28,OUT40A,2005,Small,Tier 2,Supermarket Type2,1469.23
FD648B,6.39,low,0.06,Breakfast,71.62,OUT90G,2003,Medium,Tier 3,Grocery Store,955.12
FD729W,10.18,NA,0.39,Health and Hygiene,81.98,OUT40K,1998,Medium,Tier 1,Supermarket Type2,1807.13
FD657G,16.27,low,0.23,Canned,114.65,OUT74J,1985,Small,Tier 3,Supermarket Type2,1507.89
FD482Q,11.04,regular,0.39,Others,30.64,OUT12W,1987,High,Tier 2,Grocery Store,1309.76
FD874V,20.82,low,0.3,Hard Drinks,70.04,OUT27C,1996,High,Tier 3,Grocery Store,982.75
FD746L,6.68,low,0.25,Breads,30.18,OUT27E,2007,High,Tier 2,Supermarket Type3,3236.81
FD910M,9.72,low,0.34,Breakfast,99.89,OUT15U,1994,Small,Tier 1,Supermarket Type2,1434.47
FD295S,9.69,regular,0.37,Others,178.67,OUT55X,1986,Small,Tier 3,Supermarket Type2,1639.63
FD509V,8.96,regular,0.2,Breads,98.08,OUT66Y,1995,Medium,Tier 2,Grocery Store,1007.3
FD373Z,6.72,regular,0.33,Canned,218.12,OUT20U,1998,Medium,Tier 3,Supermarket Type3,1844.47
FD428G,19.55,NA,0.12,Household,95.4,OUT20U,2006,High,Tier 2,Supermarket Type1,1265.06
FD536K,5.32,regular,0.31,Meat,169.52,OUT98C,1996,High,Tier 3,Supermarket Type3,3475.81
FD381O,4.64,low,0.26,Breakfast,144.01,OUT17E,2006,High,Tier 2,Supermarket Type2,2691.89
FD969M,14.69,regular,0.21,Others,91.45,OUT96Y,1999,Small,Tier 1,Supermarket Type1,754.39
FD475X,18.56,low,0.07,Snack Foods,50.04,OUT59K,1986,Small,Tier 3,Grocery Store,750.33
FD881E,9.99,regular,0.11,Dairy,171.94,OUT83I,2001,Medium,Tier 2,Supermarket Type2,1912.05
FD355H,5.04,regular,0.13,Hard Drinks,193.25,OUT13V,1990,High,Tier 2,Supermarket Type2,1704.71
FD820C,13.78,regular,0.13,Seafood,182.55,OUT37N,1994,,Tier 2,Grocery Store,983.59
FD562L,16.28,low,0.18,Seafood,261.08,OUT66F,2006,Small,Tier 1,Grocery Store,811.97
FD397T,20.05,regular,0.21,Breads,51.36,OUT30T,2007,High,Tier 3,Grocery Store,1059.99
FD911I,17.37,regular,0.04,Canned,145.39,OUT40Y,2000,Small,Tier 1,Supermarket Type1,915.38
FD232N,19.37,regular,0.11,Fruits and Vegetables,252.77,OUT21E,1994,Medium,Tier 3,Supermarket Type2,2268.83
FD175I,10.42,regular,0.08,Others,121.32,OUT50P,1987,Medium,Tier 3,Supermarket Type3,2670.58
FD755L,17.37,regular,0.35,Breakfast,190.63,OUT33X,1989,Small,Tier 3,Supermarket Type2,1697.72
FD411K,19.67,low,0.17,Starchy Foods,95.89,OUT30U,2007,High,Tier 1,Grocery Store,854.59
FD301O,5.94,NA,0.07,Health and Hygiene,186.88,OUT80R,1989,Small,Tier 2,Supermarket Type2,1519.35
FD257K,20.87,low,0.27,Meat,128.69,OUT94N,2008,High,Tier 3,Supermarket Type1,1545.0
FD756X,10.84,low,0.27,Breads,240.38,OUT83Q,2005,Small,Tier 1,Grocery Store,580.92
FD658S,13.44,regular,0.13,Baking Goods,111.47,OUT92T,2000,Medium,Tier 3,Grocery Store,981.36
FD805D,8.07,NA,0.22,Health and Hygiene,206.5,OUT30C,1998,Medium,Tier 1,Supermarket Type2,1501.48
FD247U,11.55,regular,0.18,Seafood,199.52,OUT50U,1996,Medium,Tier 3,Supermarket Type1,1472.77
FD208U,7.88,low,0.14,Others,65.03,OUT40D,1988,High,Tier 3,Supermarket Type2,2695.62
FD151S,7.61,regular,0.36,Soft Drinks,92.54,OUT59N,1998,Small,Tier 1,Supermarket Type1,822.09
FD420M,6.69,NA,0.31,Health and Hygiene,70.1,OUT30F,2001,High,Tier 3,Supermarket Type2,2308.98
FD192Z,18.56,regular,0.15,Breakfast,122.46,OUT74D,1992,Medium,Tier 1,Supermarket Type2,2032.37
FD606M,19.24,regular,0.18,Baking Goods,231.33,OUT93R,2000,Small,Tier 2,Grocery Store,610.39
FD370U,14.03,low,0.16,Meat,222.07,OUT56W,1997,Medium,Tier 1,Grocery Store,727.82
FD675M,12.92,low,0.32,Hard Drinks,144.8,OUT56J,1994,Small,Tier 3,Supermarket Type3,2055.32
FD945N,16.24,NA,0.03,Household,114.73,OUT97N,1988,High,Tier 2,Supermarket Type3,3312.35
FD671X,21.39,low,0.19,Dairy,68.47,OUT28M,2004,Medium,Tier 2,Supermarket Type3,2100.92
FD830V,20.75,low,0.1,Others,103.83,OUT70H,1999,Small,Tier 1,Grocery Store,486.95
FD266Z,13.6,low,0.19,Dairy,174.22,OUT88V,1994,High,Tier 2,Supermarket Type2,2522.83
FD477V,10.35,regular,0.09,Breads,229.9,OUT96H,1998,Medium,Tier 1,Supermarket Type2,1754.44
FD901X,10.53,low,0.34,Meat,97.65,OUT84K,1992,Medium,Tier 3,Supermarket Type3,2988.2
FD838N,10.87,regular,0.09,Snack Foods,145.21,OUT58J,2006,High,Tier 3,Supermarket Type1,1535.84
FD551U,14.93,NA,0.3,Health and Hygiene,250.35,OUT63J,1998,Small,Tier 1,Grocery Store,699.34
FD163T,9.94,regular,0.06,Baking Goods,130.05,OUT27H,1991,High,Tier 3,Supermarket Type3,3753.25
FD570I,8.81,regular,0.37,Breads,232.97,OUT53I,1996,Medium,Tier 1,Supermarket Type3,2493.17
FD671T,7.05,regular,0.22,Soft Drinks,137.33,OUT38T,2009,Small,Tier 2,Supermarket Type1,776.19
FD457J,9.12,low,0.08,Meat,248.9,OUT45S,1988,Medium,Tier 2,Supermarket Type3,1887.89
FD143S,17.09,regular,0.26,Others,160.96,OUT20W,1999,Small,Tier 2,Supermarket Type2,1340.02
FD377J,12.94,regular,0.11,Soft Drinks,208.98,OUT99R,1989,Small,Tier 3,Supermarket Type1,890.53
FD643O,9.51,low,0.08,Frozen Foods,55.21,OUT91O,1986,Small,Tier 3,Supermarket Type1,709.49
FD202R,11.1,regular,0.4,Frozen Foods,74.83,OUT27A,2002,High,Tier 2,Supermarket Type2,2756.43
FD304W,7.14,regular,0.13,Canned,122.68,OUT46U,1994,,Tier 3,Supermarket Type3,2555.26
